t x y
0.0000 -0.3546 -5.0307
1.0000 -0.6839 -5.5570
2.0000 -0.9474 -6.0173
3.0000 -1.1983 -6.5611
4.0000 -1.4830 -6.9312
5.0000 -1.8209 -7.5770
6.0000 -2.1133 -8.0501
7.0000 -2.2814 -8.6511
