t x y
0.000 0.0000 0.0000
0.250 0.0625 -0.1250
0.500 0.1875 -0.3750
0.750 0.3750 -0.7500
1.000 0.5625 -1.1875
1.250 0.7500 -1.6250
1.500 1.0625 -2.0000
1.750 1.4375 -2.3125
2.000 1.8750 -2.5000
2.250 2.3125 -2.5625
2.500 2.8125 -2.5625
2.750 3.2500 -2.4375
3.000 3.6875 -2.2500
3.250 4.1250 -2.0625
3.500 4.5625 -1.8750
3.750 5.0000 -1.6875
4.000 5.4375 -1.5000
4.250 5.8125 -1.1875
4.500 6.0625 -0.8750
4.750 6.1875 -0.5625
5.000 6.1875 -0.3125
5.250 6.1250 -0.1250
