x Fx U
5.2500 4.3489 4.3557
5.2750 4.2176 4.2486
5.3000 4.0933 4.1447
5.3250 3.9756 4.0439
5.3500 3.8640 3.9459
5.3750 3.7582 3.8507
5.4000 3.6577 3.7580
5.4250 3.5623 3.6677
5.4500 3.4715 3.5798
5.4750 3.3851 3.4941
5.5000 3.3028 3.4105
5.5250 3.2242 3.3289
5.5500 3.1492 3.2493
5.5750 3.0775 3.1715
5.6000 3.0089 3.0954
5.6250 2.9431 3.0210
5.6500 2.8799 2.9482
5.6750 2.8193 2.8770
5.7000 2.7609 2.8072
5.7250 2.7048 2.7389
5.7500 2.6506 2.6720
5.7750 2.5983 2.6064
5.8000 2.5478 2.5420
5.8250 2.4988 2.4790
5.8500 2.4515 2.4171
5.8750 2.4055 2.3564
5.9000 2.3608 2.2968
5.9250 2.3174 2.2383
5.9500 2.2752 2.1809
5.9750 2.2340 2.1246
6.0000 2.1938 2.0692
6.0250 2.1546 2.0149
6.0500 2.1162 1.9615
6.0750 2.0787 1.9090
6.1000 2.0420 1.8575
6.1250 2.0059 1.8069
6.1500 1.9706 1.7572
6.1750 1.9359 1.7084
6.2000 1.9017 1.6604
6.2250 1.8681 1.6133
6.2500 1.8351 1.5670
6.2750 1.8025 1.5215
6.3000 1.7704 1.4769
6.3250 1.7387 1.4330
6.3500 1.7074 1.3899
6.3750 1.6765 1.3476
6.4000 1.6460 1.3061
6.4250 1.6158 1.2653
6.4500 1.5859 1.2253
6.4750 1.5562 1.1861
6.5000 1.5269 1.1475
6.5250 1.4978 1.1097
6.5500 1.4690 1.0726
6.5750 1.4404 1.0363
6.6000 1.4120 1.0006
6.6250 1.3838 0.9656
6.6500 1.3558 0.9314
6.6750 1.3280 0.8979
6.7000 1.3004 0.8650
6.7250 1.2750 0.8328
6.7500 1.2500 0.8013
6.7750 1.2250 0.7703
6.8000 1.2000 0.7400
6.8250 1.1750 0.7103
6.8500 1.1500 0.6812
6.8750 1.1250 0.6528
6.9000 1.1000 0.6250
6.9250 1.0750 0.5978
6.9500 1.0500 0.5712
6.9750 1.0250 0.5453
7.0000 1.0000 0.5200
7.0250 0.9750 0.4953
7.0500 0.9500 0.4712
7.0750 0.9250 0.4478
7.1000 0.9000 0.4250
7.1250 0.8750 0.4028
7.1500 0.8500 0.3812
7.1750 0.8250 0.3603
7.2000 0.8000 0.3400
7.2250 0.7750 0.3203
7.2500 0.7500 0.3013
7.2750 0.7250 0.2828
7.3000 0.7000 0.2650
7.3250 0.6750 0.2478
7.3500 0.6500 0.2312
7.3750 0.6250 0.2153
7.4000 0.6000 0.2000
7.4250 0.5750 0.1853
7.4500 0.5500 0.1712
7.4750 0.5250 0.1578
7.5000 0.5000 0.1450
7.5250 0.4750 0.1328
7.5500 0.4500 0.1212
7.5750 0.4250 0.1103
7.6000 0.4000 0.1000
7.6250 0.3750 0.0903
7.6500 0.3500 0.0812
7.6750 0.3250 0.0728
7.7000 0.3000 0.0650
7.7250 0.2750 0.0578
7.7500 0.2500 0.0513
7.7750 0.2250 0.0453
7.8000 0.2000 0.0400
7.8250 0.1750 0.0353
7.8500 0.1500 0.0312
7.8750 0.1250 0.0278
7.9000 0.1000 0.0250
7.9250 0.0750 0.0228
7.9500 0.0500 0.0213
7.9750 0.0250 0.0203
8.0000 0.0000 0.0200
