x y U
8.2286 1.1429 4.1078
8.4857 1.1429 4.1996
8.7429 1.1429 4.3576
9.0000 1.1429 4.5816

0.0000 1.3714 35.4547
0.2571 1.3714 33.4306
0.5143 1.3714 31.4727
0.7714 1.3714 29.5808
1.0286 1.3714 27.7551
1.2857 1.3714 25.9955
1.5429 1.3714 24.3020
1.8000 1.3714 22.6747
2.0571 1.3714 21.1135
2.3143 1.3714 19.6184
2.5714 1.3714 18.1894
2.8286 1.3714 16.8271
3.0857 1.3714 15.5316
3.3429 1.3714 14.3028
3.6000 1.3714 13.1400
3.8571 1.3714 12.0427
4.1143 1.3714 11.0105
4.3714 1.3714 10.0434
4.6286 1.3714 9.1418
4.8857 1.3714 8.3061
5.1429 1.3714 7.5370
5.4000 1.3714 6.8347
5.6571 1.3714 6.1992
5.9143 1.3714 5.6298
6.1714 1.3714 5.1265
6.4286 1.3714 4.6894
6.6857 1.3714 4.3184
6.9429 1.3714 4.0135
7.2000 1.3714 3.7747
7.4571 1.3714 3.6020
7.7143 1.3714 3.4955
7.9714 1.3714 3.4551
8.2286 1.3714 3.4808
8.4857 1.3714 3.5727
8.7429 1.3714 3.7306
9.0000 1.3714 3.9547

0.0000 1.6000 34.8800
0.2571 1.6000 32.8559
0.5143 1.6000 30.8980
0.7714 1.6000 29.0061
1.0286 1.6000 27.1804
1.2857 1.6000 25.4208
1.5429 1.6000 23.7273
1.8000 1.6000 22.1000
2.0571 1.6000 20.5388
2.3143 1.6000 19.0438
2.5714 1.6000 17.6164
2.8286 1.6000 16.2567
3.0857 1.6000 14.9646
3.3429 1.6000 13.7393
3.6000 1.6000 12.5796
3.8571 1.6000 11.4841
4.1143 1.6000 10.4521
4.3714 1.6000 9.4833
4.6286 1.6000 8.5786
4.8857 1.6000 7.7394
5.1429 1.6000 6.9669
5.4000 1.6000 6.2619
5.6571 1.6000 5.6247
5.9143 1.6000 5.0551
6.1714 1.6000 4.5518
6.4286 1.6000 4.1147
6.6857 1.6000 3.7437
6.9429 1.6000 3.4388
7.2000 1.6000 3.2000
7.4571 1.6000 3.0273
7.7143 1.6000 2.9208
7.9714 1.6000 2.8804
8.2286 1.6000 2.9061
8.4857 1.6000 2.9980
8.7429 1.6000 3.1559
9.0000 1.6000 3.3800

0.0000 1.8286 34.3576
0.2571 1.8286 32.3335
0.5143 1.8286 30.3755
0.7714 1.8286 28.4837
1.0286 1.8286 26.6580
1.2857 1.8286 24.8984
1.5429 1.8286 23.2049
1.8000 1.8286 21.5776
2.0571 1.8286 20.0166
2.3143 1.8286 18.5238
2.5714 1.8286 17.1001
2.8286 1.8286 15.7459
3.0857 1.8286 14.4608
3.3429 1.8286 13.2436
3.6000 1.8286 12.0913
3.8571 1.8286 11.0005
4.1143 1.8286 9.9687
4.3714 1.8286 8.9957
4.6286 1.8286 8.0838
4.8857 1.8286 7.2366
5.1429 1.8286 6.4568
5.4000 1.8286 5.7462
5.6571 1.8286 5.1050
5.9143 1.8286 4.5330
6.1714 1.8286 4.0294
6.4286 1.8286 3.5922
6.6857 1.8286 3.2212
6.9429 1.8286 2.9163
7.2000 1.8286 2.6776
7.4571 1.8286 2.5049
7.7143 1.8286 2.3984
7.9714 1.8286 2.3580
8.2286 1.8286 2.3837
8.4857 1.8286 2.4755
8.7429 1.8286 2.6335
9.0000 1.8286 2.8576

0.0000 2.0571 33.8873
0.2571 2.0571 31.8633
0.5143 2.0571 29.9053
0.7714 2.0571 28.0135
1.0286 2.0571 26.1878
1.2857 2.0571 24.4282
1.5429 2.0571 22.7347
1.8000 2.0571 21.1075
2.0571 2.0571 19.5487
2.3143 2.0571 18.0603
2.5714 2.0571 16.6438
2.8286 2.0571 15.3007
