t a1 a2 a3 a4 a5 a6 b1 b2 b3 b4 b5 b6 disa disb bnda bndb
7.95000 7.03616 7.02563 7.00823 6.98947 6.97437 6.96614 7.00004 7.00002 7.00001 6.99999 6.99998 6.99996 0.06282 0.00007 1.17620 0.00079
8.00000 7.03563 7.02529 7.00817 6.98965 6.97471 6.96655 7.00004 7.00002 7.00001 6.99999 6.99998 6.99996 0.06198 0.00007 1.16055 0.00075
8.05000 7.03512 7.02495 7.00810 6.98983 6.97505 6.96695 7.00004 7.00002 7.00001 6.99999 6.99998 6.99996 0.06115 0.00006 1.14510 0.00070
8.10000 7.03462 7.02462 7.00802 6.99000 6.97538 6.96736 7.00004 7.00002 7.00001 6.99999 6.99998 6.99996 0.06034 0.00006 1.12986 0.00066
8.15000 7.03412 7.02429 7.00795 6.99017 6.97571 6.96776 7.00003 7.00002 7.00001 6.99999 6.99998 6.99997 0.05953 0.00006 1.11483 0.00063
8.20000 7.03363 7.02397 7.00788 6.99033 6.97603 6.96815 7.00003 7.00002 7.00001 6.99999 6.99998 6.99997 0.05874 0.00005 1.09999 0.00059
8.25000 7.03315 7.02365 7.00781 6.99049 6.97635 6.96854 7.00003 7.00002 7.00001 6.99999 6.99998 6.99997 0.05795 0.00005 1.08535 0.00056
8.30000 7.03268 7.02333 7.00773 6.99065 6.97667 6.96893 7.00003 7.00002 7.00001 6.99999 6.99998 6.99997 0.05718 0.00005 1.07091 0.00052
8.35000 7.03222 7.02302 7.00766 6.99080 6.97698 6.96932 7.00003 7.00001 7.00001 6.99999 6.99999 6.99997 0.05642 0.00004 1.05665 0.00049
8.40000 7.03176 7.02272 7.00758 6.99095 6.97728 6.96970 7.00002 7.00001 7.00001 6.99999 6.99999 6.99998 0.05567 0.00004 1.04259 0.00047
8.45000 7.03131 7.02242 7.00751 6.99110 6.97758 6.97008 7.00002 7.00001 7.00001 6.99999 6.99999 6.99998 0.05492 0.00004 1.02872 0.00044
8.50000 7.03087 7.02212 7.00743 6.99124 6.97788 6.97045 7.00002 7.00001 7.00001 6.99999 6.99999 6.99998 0.05419 0.00004 1.01503 0.00041
8.55000 7.03044 7.02182 7.00736 6.99138 6.97818 6.97082 7.00002 7.00001 7.00001 6.99999 6.99999 6.99998 0.05347 0.00003 1.00152 0.00039
8.60000 7.03001 7.02153 7.00728 6.99152 6.97847 6.97118 7.00002 7.00001 7.00001 6.99999 6.99999 6.99998 0.05276 0.00003 0.98819 0.00037
8.65000 7.02959 7.02125 7.00721 6.99165 6.97875 6.97155 7.00002 7.00001 7.00000 7.00000 6.99999 6.99998 0.05205 0.00003 0.97504 0.00035
8.70000 7.02918 7.02096 7.00713 6.99179 6.97904 6.97191 7.00002 7.00001 7.00000 7.00000 6.99999 6.99998 0.05136 0.00003 0.96206 0.00033
8.75000 7.02877 7.02068 7.00706 6.99191 6.97932 6.97226 7.00002 7.00001 7.00000 7.00000 6.99999 6.99998 0.05068 0.00003 0.94926 0.00031
8.80000 7.02837 7.02041 7.00698 6.99204 6.97959 6.97261 7.00002 7.00001 7.00000 7.00000 6.99999 6.99998 0.05000 0.00003 0.93663 0.00029
8.85000 7.02797 7.02014 7.00690 6.99216 6.97986 6.97296 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04933 0.00002 0.92416 0.00027
8.90000 7.02758 7.01987 7.00683 6.99228 6.98013 6.97330 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04868 0.00002 0.91186 0.00026
8.95000 7.02720 7.01960 7.00675 6.99240 6.98040 6.97364 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04803 0.00002 0.89973 0.00024
9.00000 7.02683 7.01934 7.00668 6.99252 6.98066 6.97398 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04739 0.00002 0.88776 0.00023
9.05000 7.02645 7.01909 7.00660 6.99263 6.98091 6.97431 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04676 0.00002 0.87594 0.00022
9.10000 7.02609 7.01883 7.00653 6.99274 6.98117 6.97464 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04614 0.00002 0.86428 0.00020
9.15000 7.02573 7.01858 7.00646 6.99285 6.98142 6.97496 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04552 0.00002 0.85278 0.00019
9.20000 7.02537 7.01833 7.00638 6.99296 6.98167 6.97528 7.00001 7.00001 7.00000 7.00000 6.99999 6.99999 0.04491 0.00002 0.84143 0.00018
9.25000 7.02502 7.01809 7.00631 6.99307 6.98191 6.97560 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04432 0.00001 0.83024 0.00017
9.30000 7.02468 7.01785 7.00624 6.99317 6.98215 6.97591 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04373 0.00001 0.81919 0.00016
9.35000 7.02434 7.01761 7.00616 6.99327 6.98239 6.97622 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04314 0.00001 0.80828 0.00015
9.40000 7.02401 7.01738 7.00609 6.99337 6.98262 6.97653 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04257 0.00001 0.79753 0.00014
9.45000 7.02368 7.01715 7.00602 6.99347 6.98285 6.97683 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04200 0.00001 0.78691 0.00013
9.50000 7.02335 7.01692 7.00595 6.99356 6.98308 6.97713 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04144 0.00001 0.77644 0.00013
9.55000 7.02303 7.01669 7.00588 6.99366 6.98331 6.97743 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04089 0.00001 0.76611 0.00012
9.60000 7.02272 7.01647 7.00581 6.99375 6.98353 6.97772 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.04035 0.00001 0.75591 0.00011
9.65000 7.02241 7.01625 7.00574 6.99384 6.98375 6.97801 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.03981 0.00001 0.74585 0.00011
9.70000 7.02210 7.01604 7.00567 6.99393 6.98396 6.97829 7.00001 7.00000 7.00000 7.00000 7.00000 6.99999 0.03928 0.00001 0.73593 0.00010
9.75000 7.02180 7.01582 7.00560 6.99402 6.98418 6.97858 7.00000 7.00000 7.00000 7.00000 7.00000 7.00000 0.03876 0.00001 0.72613 0.00009
9.80000 7.02151 7.01561 7.00553 6.99411 6.98439 6.97885 7.00000 7.00000 7.00000 7.00000 7.00000 7.00000 0.03824 0.00001 0.71647 0.00009
9.85000 7.02121 7.01540 7.00547 6.99419 6.98460 6.97913 7.00000 7.00000 7.00000 7.00000 7.00000 7.00000 0.03773 0.00001 0.70694 0.00008
9.90000 7.02092 7.01520 7.00540 6.99427 6.98480 6.97940 7.00000 7.00000 7.00000 7.00000 7.00000 7.00000 0.03723 0.00001 0.69753 0.00008
9.95000 7.02064 7.01500 7.00533 6.99436 6.98500 6.97967 7.00000 7.00000 7.00000 7.00000 7.00000 7.00000 0.03674 0.00001 0.68824 0.00007
10.00000 7.02036 7.01480 7.00527 6.99444 6.98520 6.97993 7.00000 7.00000 7.00000 7.00000 7.00000 7.00000 0.03625 0.00001 0.67909 0.00007
