epoch train_loss val_ade
1.0000 1.0841 1.7960
2.0000 -0.2276 1.2447
3.0000 -0.8117 0.9936
4.0000 -1.1905 1.0685
5.0000 -1.5849 1.0672
6.0000 -1.9011 1.3053
7.0000 -2.2305 1.2283
8.0000 -2.4422 1.2554
9.0000 -2.4188 1.0929
10.0000 -2.6568 1.0986
11.0000 -2.8069 1.0738
12.0000 -2.9468 1.0935
13.0000 -2.8142 1.1322
