x y
2.6896 2.4398
2.7302 2.3708
2.7741 2.3039
2.8212 2.2393
2.8714 2.1770
2.9245 2.1172
2.9805 2.0601
3.0392 2.0057
3.1004 1.9542
3.1640 1.9057
3.2299 1.8603
3.2978 1.8181
3.3676 1.7790
3.4392 1.7433
3.5123 1.7109
3.5868 1.6818
3.6626 1.6562
3.7395 1.6340
3.8172 1.6151
3.8957 1.5997
3.9748 1.5877
4.0543 1.5791
4.1341 1.5738
4.2141 1.5717
4.2941 1.5729
4.3740 1.5772
4.4536 1.5846
4.5329 1.5950
4.6118 1.6083
4.6902 1.6245
4.7679 1.6433
4.8450 1.6648
4.9213 1.6887
4.9968 1.7151
5.0715 1.7437
5.1454 1.7744
5.2183 1.8072
5.2904 1.8420
5.3616 1.8785
5.4319 1.9167
5.5013 1.9565
5.5698 1.9977
5.6375 2.0404
5.7044 2.0842
5.7706 2.1292
5.8360 2.1753
5.9007 2.2223
5.9647 2.2702
6.0282 2.3189
6.0911 2.3684
6.1535 2.4185
6.2154 2.4691
6.2768 2.5203
6.3379 2.5720
6.3986 2.6241
6.4590 2.6766
6.5190 2.7295
6.5789 2.7826
6.6384 2.8360
6.6978 2.8896
6.7569 2.9435
6.8159 2.9975
6.8748 3.0517
6.9335 3.1061
6.9921 3.1605
7.0506 3.2151
7.1091 3.2696
7.1676 3.3242
7.2262 3.3787
7.2846 3.4332
7.3399 3.4847
7.3909 3.5322
7.4379 3.5761
7.4813 3.6166
7.5214 3.6539
7.5584 3.6884
7.5925 3.7202
7.6240 3.7495
7.6530 3.7766
7.6798 3.8016
7.7046 3.8246
7.7274 3.8459
7.7485 3.8655
7.7679 3.8837
7.7858 3.9004
7.8024 3.9158
7.8176 3.9300
7.8317 3.9432
7.8447 3.9553
7.8567 3.9664
7.8678 3.9768
7.8780 3.9863
7.8874 3.9951
7.8961 4.0032
7.9041 4.0107
7.9116 4.0176
7.9184 4.0239
7.9247 4.0298
7.9305 4.0352
7.9359 4.0402
7.9408 4.0449
7.9454 4.0491
7.9496 4.0530
7.9535 4.0567
7.9571 4.0600
7.9604 4.0631
7.9635 4.0660
nan nan
0.0000 2.6600
0.0787 2.6742
0.1575 2.6883
0.2362 2.7025
0.3149 2.7167
0.3937 2.7309
0.4724 2.7450
0.5511 2.7592
0.6299 2.7734
0.7086 2.7876
0.7873 2.8017
0.8661 2.8159
0.9448 2.8301
1.0236 2.8442
1.1023 2.8584
1.1810 2.8726
1.2598 2.8868
1.3385 2.9010
1.4172 2.9152
1.4959 2.9294
1.5747 2.9436
1.6534 2.9579
1.7321 2.9722
1.8108 2.9866
1.8895 3.0010
1.9682 3.0155
2.0468 3.0301
2.1254 3.0450
2.2039 3.0603
2.2823 3.0764
2.3602 3.0944
2.4365 3.1184
2.4832 3.1670
2.4848 3.2298
2.4865 3.3048
2.4918 3.3847
2.5010 3.4641
2.5137 3.5431
2.5300 3.6214
2.5497 3.6990
2.5724 3.7757
2.5977 3.8515
2.6249 3.9268
2.6520 4.0013
2.6683 4.0531
2.6738 4.0790
2.6753 4.0908
2.6756 4.0960
2.6757 4.0982
2.6757 4.0992
2.6757 4.0997
2.6757 4.0999
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 3.3800
0.0797 3.3872
0.1594 3.3943
0.2390 3.4015
0.3187 3.4087
0.3984 3.4159
0.4781 3.4230
0.5577 3.4302
0.6374 3.4374
0.7171 3.4445
0.7968 3.4517
0.8765 3.4589
0.9561 3.4661
1.0358 3.4732
1.1155 3.4804
1.1952 3.4876
1.2748 3.4948
1.3545 3.5021
1.4342 3.5093
1.5138 3.5166
1.5935 3.5240
1.6732 3.5313
1.7528 3.5388
1.8325 3.5463
1.9121 3.5540
1.9917 3.5620
2.0713 3.5703
2.1508 3.5793
2.2301 3.5895
2.3092 3.6017
2.3874 3.6181
2.4628 3.6444
2.5256 3.6930
2.5638 3.7630
2.5921 3.8378
2.6196 3.9129
2.6473 3.9880
2.6663 4.0458
2.6733 4.0756
2.6751 4.0893
2.6756 4.0953
2.6757 4.0980
2.6757 4.0991
2.6757 4.0996
2.6757 4.0998
2.6757 4.0999
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 4.1000
0.0800 4.1000
0.1600 4.1000
0.2400 4.1000
0.3200 4.1000
0.4000 4.1000
0.4800 4.1000
0.5600 4.1000
0.6400 4.1000
0.7200 4.1000
0.8000 4.1000
0.8800 4.1000
0.9600 4.1000
1.0400 4.1000
1.1200 4.1000
1.2000 4.1000
1.2800 4.1000
1.3600 4.1000
1.4400 4.1000
1.5200 4.1000
1.6000 4.1000
1.6800 4.1000
1.7600 4.1000
1.8400 4.1000
1.9200 4.1000
2.0000 4.1000
2.0800 4.1000
2.1600 4.1000
2.2400 4.1000
2.3200 4.1000
2.4000 4.1000
2.4800 4.1000
2.5600 4.1000
2.6400 4.1000
2.6716 4.1000
2.6753 4.1000
2.6756 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 4.8200
0.0797 4.8128
0.1594 4.8057
0.2390 4.7985
0.3187 4.7913
0.3984 4.7841
0.4781 4.7770
0.5577 4.7698
0.6374 4.7626
0.7171 4.7555
0.7968 4.7483
0.8765 4.7411
0.9561 4.7339
1.0358 4.7268
1.1155 4.7196
1.1952 4.7124
1.2748 4.7052
1.3545 4.6979
1.4342 4.6907
1.5138 4.6834
1.5935 4.6760
1.6732 4.6687
1.7528 4.6612
1.8325 4.6537
1.9121 4.6460
1.9917 4.6380
2.0713 4.6297
2.1508 4.6207
2.2301 4.6105
2.3092 4.5983
2.3874 4.5819
2.4628 4.5556
2.5256 4.5070
2.5638 4.4370
2.5921 4.3622
2.6196 4.2871
2.6473 4.2120
2.6663 4.1542
2.6733 4.1244
2.6751 4.1107
2.6756 4.1047
2.6757 4.1020
2.6757 4.1009
2.6757 4.1004
2.6757 4.1002
2.6757 4.1001
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 5.5400
0.0787 5.5258
0.1575 5.5117
0.2362 5.4975
0.3149 5.4833
0.3937 5.4691
0.4724 5.4550
0.5511 5.4408
0.6299 5.4266
0.7086 5.4124
0.7873 5.3983
0.8661 5.3841
0.9448 5.3699
1.0236 5.3558
1.1023 5.3416
1.1810 5.3274
1.2598 5.3132
1.3385 5.2990
1.4172 5.2848
1.4959 5.2706
1.5747 5.2564
1.6534 5.2421
1.7321 5.2278
1.8108 5.2134
1.8895 5.1990
1.9682 5.1845
2.0468 5.1699
2.1254 5.1550
2.2039 5.1397
2.2823 5.1236
2.3602 5.1056
2.4365 5.0816
2.4832 5.0330
2.4848 4.9702
2.4865 4.8952
2.4918 4.8153
2.5010 4.7359
2.5137 4.6569
2.5300 4.5786
2.5497 4.5010
2.5724 4.4243
2.5977 4.3485
2.6249 4.2732
2.6520 4.1987
2.6683 4.1469
2.6738 4.1210
2.6753 4.1092
2.6756 4.1040
2.6757 4.1018
2.6757 4.1008
2.6757 4.1003
2.6757 4.1001
2.6757 4.1001
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
2.6757 4.1000
nan nan
0.0000 6.2600
0.0772 6.2391
0.1545 6.2183
0.2317 6.1974
0.3089 6.1766
0.3862 6.1557
0.4634 6.1349
0.5406 6.1140
0.6179 6.0932
0.6951 6.0723
0.7723 6.0515
0.8496 6.0306
0.9268 6.0098
1.0040 5.9889
1.0813 5.9681
1.1585 5.9472
1.2357 5.9263
1.3130 5.9055
1.3902 5.8847
1.4675 5.8638
1.5447 5.8430
1.6220 5.8222
1.6992 5.8014
1.7765 5.7806
1.8537 5.7599
1.9310 5.7393
2.0083 5.7187
2.0857 5.6982
2.1631 5.6779
2.2405 5.6580
2.3181 5.6385
2.3960 5.6201
2.4743 5.6040
2.5537 5.5949
2.6188 5.6241
2.6524 5.6894
2.6896 5.7602
2.7302 5.8292
2.7741 5.8961
2.8212 5.9607
2.8714 6.0230
2.9245 6.0828
2.9805 6.1399
3.0392 6.1943
3.1004 6.2458
3.1640 6.2943
3.2299 6.3397
3.2978 6.3819
3.3676 6.4210
3.4392 6.4567
3.5123 6.4891
3.5868 6.5182
3.6626 6.5438
3.7395 6.5660
3.8172 6.5849
3.8957 6.6003
3.9748 6.6123
4.0543 6.6209
4.1341 6.6262
4.2141 6.6283
4.2941 6.6271
4.3740 6.6228
4.4536 6.6154
4.5329 6.6050
4.6118 6.5917
4.6902 6.5755
4.7679 6.5567
4.8450 6.5352
4.9213 6.5113
4.9968 6.4849
5.0715 6.4563
5.1454 6.4256
5.2183 6.3928
5.2904 6.3580
5.3616 6.3215
5.4319 6.2833
5.5013 6.2435
5.5698 6.2023
5.6375 6.1596
5.7044 6.1158
5.7706 6.0708
5.8360 6.0247
5.9007 5.9777
5.9647 5.9298
6.0282 5.8811
6.0911 5.8316
6.1535 5.7815
6.2154 5.7309
6.2768 5.6797
6.3379 5.6280
6.3986 5.5759
6.4590 5.5234
6.5190 5.4705
6.5789 5.4174
6.6384 5.3640
6.6978 5.3104
6.7569 5.2565
6.8159 5.2025
6.8748 5.1483
6.9335 5.0939
6.9921 5.0395
7.0506 4.9849
7.1091 4.9304
7.1676 4.8758
7.2262 4.8213
7.2846 4.7668
7.3399 4.7153
7.3909 4.6678
7.4379 4.6239
7.4813 4.5834
7.5214 4.5461
7.5584 4.5116
7.5925 4.4798
7.6240 4.4505
7.6530 4.4234
7.6798 4.3984
7.7046 4.3754
7.7274 4.3541
7.7485 4.3345
7.7679 4.3163
7.7858 4.2996
7.8024 4.2842
7.8176 4.2700
7.8317 4.2568
7.8447 4.2447
7.8567 4.2336
7.8678 4.2232
7.8780 4.2137
7.8874 4.2049
7.8961 4.1968
7.9041 4.1893
7.9116 4.1824
7.9184 4.1761
7.9247 4.1702
7.9305 4.1648
7.9359 4.1598
7.9408 4.1551
7.9454 4.1509
7.9496 4.1470
7.9535 4.1433
7.9571 4.1400
7.9604 4.1369
7.9635 4.1340
nan nan
0.0000 6.9800
0.0753 6.9529
0.1505 6.9258
0.2258 6.8987
0.3011 6.8716
0.3764 6.8445
0.4516 6.8174
0.5269 6.7903
0.6022 6.7632
0.6774 6.7361
0.7527 6.7090
0.8280 6.6819
0.9033 6.6548
0.9785 6.6277
1.0538 6.6006
1.1291 6.5735
1.2043 6.5464
1.2796 6.5193
1.3549 6.4922
1.4301 6.4651
1.5054 6.4381
1.5807 6.4110
1.6560 6.3839
1.7313 6.3569
1.8066 6.3299
1.8819 6.3030
1.9573 6.2761
2.0326 6.2493
2.1081 6.2226
2.1836 6.1961
2.2591 6.1699
2.3348 6.1440
2.4107 6.1187
2.4869 6.0944
2.5636 6.0716
2.6411 6.0516
2.7198 6.0374
2.7996 6.0361
2.8751 6.0607
2.9396 6.1078
2.9996 6.1608
3.0600 6.2132
3.1223 6.2633
3.1868 6.3106
3.2535 6.3549
3.3221 6.3960
3.3925 6.4339
3.4647 6.4685
3.5383 6.4997
3.6133 6.5276
3.6895 6.5520
3.7667 6.5730
3.8447 6.5907
3.9234 6.6049
4.0027 6.6157
4.0823 6.6232
4.1622 6.6273
4.2422 6.6282
4.3221 6.6260
4.4020 6.6205
4.4815 6.6121
4.5607 6.6006
4.6394 6.5863
4.7175 6.5692
4.7950 6.5495
4.8719 6.5271
4.9479 6.5023
5.0232 6.4752
5.0976 6.4458
5.1711 6.4143
5.2438 6.3808
5.3155 6.3454
5.3864 6.3083
5.4563 6.2695
5.5254 6.2292
5.5937 6.1874
5.6611 6.1444
5.7277 6.1001
5.7936 6.0547
5.8588 6.0083
5.9232 5.9610
5.9871 5.9128
6.0504 5.8638
6.1131 5.8141
6.1753 5.7638
6.2370 5.7129
6.2983 5.6616
6.3593 5.6097
6.4198 5.5575
6.4801 5.5048
6.5401 5.4519
6.5998 5.3987
6.6593 5.3452
6.7186 5.2915
6.7777 5.2376
6.8366 5.1835
6.8954 5.1292
6.9541 5.0748
7.0126 5.0203
7.0711 4.9658
7.1297 4.9112
7.1882 4.8567
7.2467 4.8021
7.3045 4.7483
7.3582 4.6982
7.4078 4.6520
7.4536 4.6093
7.4958 4.5700
7.5347 4.5337
7.5707 4.5002
7.6038 4.4693
7.6344 4.4407
7.6627 4.4144
7.6887 4.3901
7.7128 4.3677
7.7350 4.3470
7.7555 4.3279
7.7743 4.3103
7.7918 4.2941
7.8079 4.2791
7.8227 4.2652
7.8364 4.2525
7.8490 4.2407
7.8607 4.2298
7.8715 4.2198
7.8814 4.2105
7.8906 4.2020
7.8990 4.1941
7.9068 4.1869
7.9140 4.1801
7.9207 4.1740
7.9268 4.1682
7.9324 4.1630
7.9377 4.1581
7.9425 4.1536
7.9469 4.1495
7.9510 4.1457
7.9548 4.1421
7.9583 4.1389
7.9615 4.1359
7.9638 4.1338
nan nan
0.0000 7.7000
0.0730 7.6672
0.1459 7.6343
0.2189 7.6015
0.2918 7.5687
0.3648 7.5359
0.4377 7.5030
0.5107 7.4702
0.5836 7.4374
0.6566 7.4045
0.7295 7.3717
0.8025 7.3389
0.8754 7.3060
0.9484 7.2732
1.0214 7.2404
1.0943 7.2076
1.1673 7.1747
1.2402 7.1419
1.3132 7.1091
1.3861 7.0762
1.4591 7.0434
1.5320 7.0106
1.6050 6.9778
1.6779 6.9449
1.7509 6.9121
1.8239 6.8793
1.8968 6.8465
1.9698 6.8137
2.0428 6.7810
2.1158 6.7484
2.1889 6.7158
2.2620 6.6833
2.3352 6.6509
2.4084 6.6187
2.4817 6.5867
2.5552 6.5552
2.6289 6.5241
2.7030 6.4937
2.7774 6.4645
2.8526 6.4370
2.9286 6.4123
3.0061 6.3922
3.0850 6.3797
3.1649 6.3792
3.2437 6.3927
3.3199 6.4170
3.3943 6.4462
3.4685 6.4763
3.5431 6.5050
3.6187 6.5313
3.6951 6.5548
3.7725 6.5752
3.8506 6.5923
3.9294 6.6061
4.0087 6.6166
4.0884 6.6238
4.1683 6.6276
4.2483 6.6283
4.3283 6.6257
4.4080 6.6200
4.4876 6.6113
4.5667 6.5997
4.6454 6.5851
4.7235 6.5678
4.8009 6.5479
4.8777 6.5253
4.9537 6.5003
5.0289 6.4730
5.1032 6.4435
5.1767 6.4118
5.2493 6.3782
5.3209 6.3426
5.3917 6.3054
5.4616 6.2665
5.5307 6.2261
5.5988 6.1842
5.6662 6.1411
5.7328 6.0967
5.7986 6.0512
5.8637 6.0047
5.9281 5.9573
5.9919 5.9091
6.0552 5.8600
6.1178 5.8103
6.1800 5.7600
6.2417 5.7090
6.3030 5.6576
6.3639 5.6057
6.4244 5.5535
6.4847 5.5008
6.5446 5.4479
6.6043 5.3946
6.6638 5.3411
6.7231 5.2874
6.7822 5.2334
6.8411 5.1793
6.8999 5.1251
6.9585 5.0707
7.0171 5.0162
7.0756 4.9616
7.1341 4.9071
7.1927 4.8525
7.2512 4.7980
7.3087 4.7443
7.3621 4.6945
7.4114 4.6486
7.4569 4.6062
7.4989 4.5671
7.5376 4.5310
7.5733 4.4977
7.6063 4.4670
7.6367 4.4386
7.6647 4.4125
7.6906 4.3883
7.7145 4.3661
7.7366 4.3455
7.7569 4.3265
7.7757 4.3090
7.7931 4.2929
7.8090 4.2780
7.8238 4.2642
7.8374 4.2516
7.8500 4.2398
7.8616 4.2290
7.8723 4.2191
7.8821 4.2099
7.8912 4.2014
7.8996 4.1936
7.9074 4.1863
7.9145 4.1797
7.9211 4.1735
7.9272 4.1678
7.9329 4.1626
7.9380 4.1577
7.9428 4.1533
7.9472 4.1492
7.9513 4.1454
7.9551 4.1419
7.9586 4.1386
7.9618 4.1356
7.9636 4.1339
nan nan
