x y e
0.0000 4.3000 0.3000
0.8000 4.2900 0.2900
1.5200 4.2810 0.2810
2.1661 4.2719 0.2719
2.7264 4.2564 0.2564
3.1466 4.1820 0.1820
3.3861 3.9315 -0.0685
3.6087 4.1497 0.1497
3.6713 3.1986 -0.8014
