t x y d
6.9500 5.9681 4.0196 0.5685
7.0000 5.9681 4.0189 0.5685
7.0500 5.9682 4.0182 0.5684
7.1000 5.9682 4.0176 0.5684
7.1500 5.9682 4.0170 0.5684
7.2000 5.9682 4.0164 0.5684
7.2500 5.9682 4.0158 0.5684
7.3000 5.9682 4.0153 0.5684
7.3500 5.9682 4.0147 0.5684
7.4000 5.9682 4.0142 0.5684
7.4500 5.9682 4.0137 0.5684
7.5000 5.9682 4.0132 0.5684
7.5500 5.9682 4.0128 0.5684
7.6000 5.9682 4.0123 0.5683
7.6500 5.9682 4.0119 0.5683
7.7000 5.9682 4.0115 0.5683
7.7500 5.9682 4.0111 0.5683
7.8000 5.9682 4.0107 0.5683
7.8500 5.9682 4.0103 0.5683
7.9000 5.9682 4.0099 0.5683
7.9500 5.9682 4.0096 0.5683
8.0000 5.9682 4.0093 0.5683
8.0500 5.9682 4.0089 0.5683
8.1000 5.9682 4.0086 0.5683
8.1500 5.9682 4.0083 0.5683
8.2000 5.9682 4.0080 0.5683
8.2500 5.9682 4.0077 0.5683
8.3000 5.9682 4.0075 0.5683
8.3500 5.9682 4.0072 0.5683
8.4000 5.9682 4.0070 0.5683
8.4500 5.9683 4.0067 0.5683
8.5000 5.9683 4.0065 0.5683
8.5500 5.9683 4.0063 0.5683
8.6000 5.9683 4.0060 0.5683
8.6500 5.9683 4.0058 0.5683
8.7000 5.9683 4.0056 0.5683
8.7500 5.9683 4.0054 0.5683
8.8000 5.9683 4.0052 0.5683
8.8500 5.9683 4.0050 0.5683
8.9000 5.9683 4.0049 0.5683
8.9500 5.9683 4.0047 0.5683
9.0000 5.9683 4.0045 0.5683
9.0500 5.9683 4.0044 0.5683
9.1000 5.9683 4.0042 0.5683
9.1500 5.9683 4.0041 0.5683
9.2000 5.9683 4.0039 0.5683
9.2500 5.9683 4.0038 0.5683
9.3000 5.9683 4.0037 0.5683
9.3500 5.9683 4.0035 0.5683
9.4000 5.9683 4.0034 0.5683
9.4500 5.9683 4.0033 0.5683
9.5000 5.9683 4.0032 0.5683
9.5500 5.9683 4.0031 0.5683
9.6000 5.9683 4.0030 0.5683
