t err lmin lmax dint lam2 viol active
7.90000 0.20005 1.73336 2.82843 0.97168 4.00000 0.00000 1.00000
8.00000 0.23807 1.67493 2.82843 0.94122 4.00000 0.00000 1.00000
8.10000 0.27144 1.62114 2.82843 0.92072 4.00000 0.00000 1.00000
8.20000 0.29686 1.58030 2.82873 0.91021 4.00000 0.00000 1.00000
8.30000 0.31102 1.56411 2.83040 0.91081 4.00000 0.00000 1.00000
8.40000 0.31152 1.58467 2.83373 0.92422 4.00000 0.00000 1.00000
8.50000 0.29815 1.64636 2.83934 0.95187 4.00000 0.00000 1.00000
8.60000 0.27449 1.73880 2.84833 0.99384 4.00000 0.00000 1.00000
8.70000 0.24779 1.84089 2.91582 1.04838 4.00000 0.00000 1.00000
8.80000 0.22615 1.93241 2.96632 1.11206 4.00000 0.00000 1.00000
8.90000 0.21265 1.98761 2.97628 1.17788 4.00000 0.00000 1.00000
9.00000 0.21298 1.98788 2.97190 1.12946 4.00000 0.00000 1.00000
9.10000 0.21929 1.98079 2.98598 1.09158 4.00000 0.00000 1.00000
9.20000 0.22294 1.97049 3.00190 1.06839 4.00000 0.00000 1.00000
9.30000 0.22072 1.96112 3.01000 1.06284 4.00000 0.00000 1.00000
9.40000 0.21167 1.95596 3.01193 1.07530 4.00000 0.00000 1.00000
9.50000 0.19809 1.95768 3.00814 1.10508 4.00000 0.00000 1.00000
9.60000 0.18522 1.96707 2.99945 1.15040 4.00000 0.00000 1.00000
9.70000 0.17915 1.98280 2.98739 1.20775 4.00000 0.00000 1.00000
9.80000 0.18432 2.00133 2.99709 1.12445 4.00000 0.00000 1.00000
9.90000 0.20165 2.01704 3.01569 1.04831 4.00000 0.00000 1.00000
10.00000 0.22871 2.00590 3.03044 0.99169 4.00000 0.00000 1.00000
10.10000 0.26155 1.99184 3.03853 0.95617 4.00000 0.00000 1.00000
10.20000 0.29602 1.98167 3.03906 0.94145 4.00000 0.00000 1.00000
10.30000 0.32665 1.93522 3.03207 0.94517 4.00000 0.00000 1.00000
10.40000 0.34788 1.87672 3.01802 0.96372 4.00000 0.00000 1.00000
