t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
16.2000 31.4228 34.3629 1.7433 0.9452 30.0809 34.1087 31.6190 34.4917 1.4781 1.0975 -15.1454 -0.4679 0.3934 0.2300 1.3658 0.2346
16.3000 31.5953 34.4623 1.7476 0.9926 32.9883 34.3796 31.9559 34.5545 1.6369 1.0418 29.0745 2.7094 0.3934 0.2300 1.3954 0.3721
16.4000 31.7742 34.5717 1.8570 1.1048 32.3272 34.0159 32.1517 34.5226 1.6639 0.8804 -6.6115 -3.6371 0.3934 0.2300 0.7840 0.3806
16.5000 31.9713 34.6819 2.0257 0.9701 32.7739 34.9033 32.3886 34.6726 1.7232 0.9539 4.4680 8.8741 0.3934 0.2300 0.8326 0.4174
16.6000 32.1695 34.7799 1.8783 0.8549 32.8904 34.5086 32.6120 34.7131 1.7660 0.8888 1.1643 -3.9469 0.3934 0.2300 0.7702 0.4474
16.7000 32.3555 34.8731 1.8148 0.9589 32.8572 35.0947 32.7992 34.8639 1.7749 0.9623 -0.3318 5.8605 0.3934 0.2300 0.5485 0.4438
16.8000 32.5237 34.9751 1.6030 1.0326 32.8348 35.3595 32.9547 35.0447 1.7565 1.0626 -0.2245 2.6482 0.3934 0.2300 0.4945 0.4366
16.9000 32.6887 35.0776 1.7990 1.0551 32.8247 34.9041 33.0830 35.0987 1.7167 1.0006 -0.1010 -4.5547 0.3934 0.2300 0.2204 0.3949
17.0000 32.8754 35.1762 1.8800 0.9249 31.0465 33.9148 32.9129 34.9270 1.4296 0.6782 -17.7820 -9.8924 0.3934 0.2300 2.2218 0.2521
17.1000 33.0693 35.2706 1.9525 0.9854 32.2876 35.3512 32.9369 35.0702 1.3297 0.7677 12.4113 14.3643 0.3934 0.2300 0.7859 0.2401
17.2000 33.2800 35.3654 2.2077 0.8588 32.8811 34.4494 33.0407 34.9994 1.3052 0.5925 5.9351 -9.0182 0.3934 0.2300 0.9991 0.4374
17.3000 33.4973 35.4694 2.1776 1.0606 33.4324 34.8507 33.2116 35.0146 1.3392 0.5403 5.5128 4.0125 0.3934 0.2300 0.6222 0.5371
17.4000 33.7229 35.5790 2.3170 1.2094 34.0868 35.6292 33.4603 35.1873 1.4355 0.6810 6.5441 7.7853 0.3934 0.2300 0.3674 0.4716
17.5000 33.9572 35.6997 2.2794 1.1355 34.0901 35.9950 33.6791 35.4119 1.4988 0.8668 0.0330 3.6576 0.3934 0.2300 0.3238 0.4002
17.6000 34.1847 35.8188 2.1279 1.1285 34.7860 35.3478 33.9771 35.4667 1.6232 0.8289 6.9590 -6.4713 0.3934 0.2300 0.7638 0.4088
17.7000 34.3932 35.9292 2.0636 1.0668 33.6864 35.8649 34.0693 35.6163 1.5643 0.9081 -10.9960 5.1702 0.3934 0.2300 0.7098 0.4504
17.8000 34.6061 36.0334 2.2283 0.9861 35.3712 36.2018 34.4030 35.8118 1.7132 1.0323 16.8481 3.3699 0.3934 0.2300 0.7834 0.3005
17.9000 34.8314 36.1282 2.3459 0.8603 33.4815 35.9835 34.4052 35.9296 1.5711 1.0495 -18.8968 -2.1834 0.3934 0.2300 1.3577 0.4702
18.0000 35.0621 36.2234 2.1762 1.1695 34.8895 36.1075 34.6129 36.0500 1.6136 1.0678 14.0795 1.2398 0.3934 0.2300 0.2080 0.4815
18.1000 35.2845 36.3450 2.3389 1.2489 33.6885 36.5629 34.6062 36.2427 1.4725 1.1698 -12.0091 4.5538 0.3934 0.2300 1.6107 0.6859
18.2000 35.5138 36.4719 2.3371 1.2796 35.4065 36.0464 34.8546 36.2934 1.5574 1.0912 17.1792 -5.1643 0.3934 0.2300 0.4388 0.6830
18.3000 35.7318 36.6024 2.1559 1.1638 36.5548 36.1166 35.2494 36.3420 1.7582 1.0194 11.4835 0.7016 0.3934 0.2300 0.9557 0.5482
18.4000 35.9320 36.7123 1.9083 1.1229 35.7517 36.4486 35.4758 36.4449 1.8006 1.0205 -8.0308 3.3196 0.3934 0.2300 0.3195 0.5288
18.5000 36.1249 36.8348 1.9835 1.2209 36.2234 36.6052 35.7437 36.5593 1.8744 1.0352 4.7164 1.5669 0.3934 0.2300 0.2498 0.4704
18.6000 36.3175 36.9496 1.8098 1.1183 34.5581 37.2798 35.7186 36.7934 1.6959 1.1901 -16.6524 6.7455 0.3934 0.2300 1.7901 0.6189
18.7000 36.5098 37.0563 2.0192 1.1162 36.5297 36.7825 35.9875 36.8849 1.7793 1.1575 19.7158 -4.9733 0.3934 0.2300 0.2746 0.5497
18.8000 36.6966 37.1616 1.8007 1.0084 35.5175 37.4457 36.0651 37.0949 1.6951 1.2692 -10.1222 6.6320 0.3934 0.2300 1.2128 0.6349
18.9000 36.8575 37.2639 1.6310 0.8967 37.8650 36.7992 36.4870 37.1323 1.9071 1.1631 23.4748 -6.4651 0.3934 0.2300 1.1095 0.3932
19.0000 37.0170 37.3529 1.5708 0.8177 37.5742 38.3823 36.8165 37.4886 2.0236 1.4478 -2.9078 15.8313 0.3934 0.2300 1.1705 0.2421
19.1000 37.1778 37.4488 1.6341 1.0096 37.3188 37.4360 37.0653 37.5916 2.0626 1.3982 -2.5538 -9.4630 0.3934 0.2300 0.1416 0.1818
19.2000 37.3415 37.5494 1.7073 0.9835 36.4776 37.3274 37.1487 37.6459 1.9594 1.2968 -8.4119 -1.0857 0.3934 0.2300 0.8919 0.2156
19.3000 37.5060 37.6390 1.5799 0.7971 37.5712 37.7971 37.3797 37.7801 1.9889 1.3022 10.9354 4.6963 0.3934 0.2300 0.1710 0.1894
19.4000 37.6710 37.7189 1.6330 0.7862 39.5200 37.7915 37.8791 37.8852 2.2413 1.2723 19.4887 -0.0559 0.3934 0.2300 1.8505 0.2663
19.5000 37.8377 37.8038 1.6483 0.8357 38.1908 37.4118 38.1168 37.8853 2.2527 1.1215 -13.2921 -3.7967 0.3934 0.2300 0.5276 0.2907
19.6000 37.9999 37.8932 1.7413 0.8939 36.3302 37.7124 38.0306 37.9371 1.9911 1.0499 -18.6061 3.0065 0.3934 0.2300 1.6794 0.0536
19.7000 38.1632 38.0013 1.5804 1.2385 39.5881 38.2427 38.4400 38.0846 2.1677 1.1003 32.5785 5.3025 0.3934 0.2300 1.4451 0.2890
19.8000 38.3066 38.1294 1.4822 1.3216 39.4725 37.1814 38.7831 37.9801 2.2738 0.8458 -1.1556 -10.6131 0.3934 0.2300 1.5027 0.4993
19.9000 38.4725 38.2766 1.6718 1.5806 39.3107 38.0284 39.0569 38.0570 2.3128 0.8367 -1.6180 8.4702 0.3934 0.2300 0.8742 0.6244
20.0000 38.6322 38.4354 1.6059 1.7049 40.2675 38.1808 39.4398 38.1492 2.4401 0.8468 9.5681 1.5243 0.3934 0.2300 1.6551 0.8569
