x Uatt Urep U
4.6250 nan nan nan
4.6500 nan nan nan
4.6750 nan nan nan
4.7000 nan nan nan
4.7250 nan nan nan
4.7500 nan nan nan
4.7750 nan nan nan
4.8000 nan nan nan
4.8250 nan nan nan
4.8500 nan nan nan
4.8750 nan nan nan
4.9000 nan nan nan
4.9250 nan nan nan
4.9500 nan nan nan
4.9750 nan nan nan
5.0000 nan nan nan
5.0250 4.4253 40.0000 40.0000
5.0500 4.3512 40.0000 40.0000
5.0750 4.2778 40.0000 40.0000
5.1000 4.2050 40.0000 40.0000
5.1250 4.1328 28.1250 32.2578
5.1500 4.0612 19.0139 23.0751
5.1750 3.9903 13.5944 17.5847
5.2000 3.9200 10.1250 14.0450
5.2250 3.8503 7.7793 11.6296
5.2500 3.7812 6.1250 9.9062
5.2750 3.7128 4.9184 8.6312
5.3000 3.6450 4.0139 7.6589
5.3250 3.5778 3.3203 6.8981
5.3500 3.5112 2.7781 6.2893
5.3750 3.4453 2.3472 5.7925
5.4000 3.3800 2.0000 5.3800
5.4250 3.3153 1.7167 5.0320
5.4500 3.2512 1.4830 4.7343
5.4750 3.1878 1.2884 4.4762
5.5000 3.1250 1.1250 4.2500
5.5250 3.0628 0.9867 4.0495
5.5500 3.0012 0.8688 3.8701
5.5750 2.9403 0.7677 3.7080
5.6000 2.8800 0.6806 3.5606
5.6250 2.8203 0.6050 3.4253
5.6500 2.7612 0.5392 3.3005
5.6750 2.7028 0.4817 3.1845
5.7000 2.6450 0.4311 3.0761
5.7250 2.5878 0.3866 2.9744
5.7500 2.5312 0.3472 2.8785
5.7750 2.4753 0.3123 2.7876
5.8000 2.4200 0.2812 2.7012
5.8250 2.3653 0.2536 2.6189
5.8500 2.3112 0.2288 2.5401
5.8750 2.2578 0.2066 2.4644
5.9000 2.2050 0.1867 2.3917
5.9250 2.1528 0.1688 2.3216
5.9500 2.1012 0.1527 2.2540
5.9750 2.0503 0.1381 2.1885
6.0000 2.0000 0.1250 2.1250
6.0250 1.9503 0.1131 2.0634
6.0500 1.9012 0.1023 2.0036
6.0750 1.8528 0.0926 1.9454
6.1000 1.8050 0.0837 1.8887
6.1250 1.7578 0.0756 1.8334
6.1500 1.7112 0.0683 1.7795
6.1750 1.6653 0.0616 1.7269
6.2000 1.6200 0.0556 1.6756
6.2250 1.5753 0.0500 1.6253
6.2500 1.5312 0.0450 1.5762
6.2750 1.4878 0.0404 1.5282
6.3000 1.4450 0.0362 1.4812
6.3250 1.4028 0.0324 1.4353
6.3500 1.3612 0.0290 1.3902
6.3750 1.3203 0.0258 1.3461
6.4000 1.2800 0.0230 1.3030
6.4250 1.2403 0.0204 1.2607
6.4500 1.2012 0.0180 1.2192
6.4750 1.1628 0.0158 1.1786
6.5000 1.1250 0.0139 1.1389
6.5250 1.0878 0.0121 1.0999
6.5500 1.0512 0.0105 1.0618
6.5750 1.0153 0.0091 1.0244
6.6000 0.9800 0.0078 0.9878
6.6250 0.9453 0.0067 0.9520
6.6500 0.9112 0.0056 0.9169
6.6750 0.8778 0.0047 0.8825
6.7000 0.8450 0.0039 0.8489
6.7250 0.8128 0.0032 0.8160
6.7500 0.7812 0.0026 0.7838
6.7750 0.7503 0.0020 0.7523
6.8000 0.7200 0.0015 0.7215
6.8250 0.6903 0.0011 0.6915
6.8500 0.6612 0.0008 0.6621
6.8750 0.6328 0.0006 0.6334
6.9000 0.6050 0.0003 0.6053
6.9250 0.5778 0.0002 0.5780
6.9500 0.5512 0.0001 0.5513
6.9750 0.5253 0.0000 0.5253
7.0000 0.5000 0.0000 0.5000
7.0250 0.4753 0.0000 0.4753
7.0500 0.4512 0.0000 0.4512
7.0750 0.4278 0.0000 0.4278
7.1000 0.4050 0.0000 0.4050
7.1250 0.3828 0.0000 0.3828
7.1500 0.3612 0.0000 0.3612
7.1750 0.3403 0.0000 0.3403
7.2000 0.3200 0.0000 0.3200
7.2250 0.3003 0.0000 0.3003
7.2500 0.2812 0.0000 0.2812
7.2750 0.2628 0.0000 0.2628
7.3000 0.2450 0.0000 0.2450
7.3250 0.2278 0.0000 0.2278
7.3500 0.2112 0.0000 0.2112
7.3750 0.1953 0.0000 0.1953
7.4000 0.1800 0.0000 0.1800
7.4250 0.1653 0.0000 0.1653
7.4500 0.1512 0.0000 0.1512
7.4750 0.1378 0.0000 0.1378
7.5000 0.1250 0.0000 0.1250
7.5250 0.1128 0.0000 0.1128
7.5500 0.1012 0.0000 0.1012
7.5750 0.0903 0.0000 0.0903
7.6000 0.0800 0.0000 0.0800
7.6250 0.0703 0.0000 0.0703
7.6500 0.0612 0.0000 0.0612
7.6750 0.0528 0.0000 0.0528
7.7000 0.0450 0.0000 0.0450
7.7250 0.0378 0.0000 0.0378
7.7500 0.0312 0.0000 0.0312
7.7750 0.0253 0.0000 0.0253
7.8000 0.0200 0.0000 0.0200
7.8250 0.0153 0.0000 0.0153
7.8500 0.0112 0.0000 0.0112
7.8750 0.0078 0.0000 0.0078
7.9000 0.0050 0.0000 0.0050
7.9250 0.0028 0.0000 0.0028
7.9500 0.0012 0.0000 0.0012
7.9750 0.0003 0.0000 0.0003
8.0000 0.0000 0.0000 0.0000
