x1 y1 x2 y2 x3 y3
-0.29 33.41 27.58 40.46 -15.29 73.86
-1.28 34.07 -22.61 44.48 -20.11 72.07
-1.33 36.64 -30.24 48.01 -19.51 72.96
-1.05 34.90 -17.39 51.60 -10.56 72.66
0.71 33.66 -15.37 31.03 -15.29 73.86
-0.35 34.51 -29.59 41.42 -21.41 70.03
-0.05 34.60 -30.36 53.12 -19.13 71.04
-1.45 35.07 -22.03 63.69 -19.51 72.96
-1.86 31.41 19.29 31.44 -17.24 74.42
-0.55 35.36 -24.11 60.35 -14.24 77.14
-1.96 33.17 5.12 54.69 -17.24 74.42
-2.00 34.30 -30.86 43.76 -19.13 71.04
-1.46 35.17 -28.76 40.85 -19.51 72.96
-0.65 34.59 25.56 58.71 -15.03 75.90
-1.02 34.52 17.53 67.93 -10.63 73.86
-0.05 34.50 -32.99 52.53 -19.13 71.04
0.17 35.06 29.16 60.98 -15.03 75.90
-1.66 33.26 -13.91 65.58 -15.29 73.86
-1.49 33.66 8.73 54.18 -17.24 74.42
-3.40 36.57 -28.19 40.31 -17.24 74.42
-2.10 33.31 14.52 63.62 -19.51 72.96
0.79 35.54 10.09 41.66 -10.11 75.45
-1.80 35.09 26.61 52.59 -15.03 75.90
-0.24 33.26 -18.11 30.20 -18.02 74.03
-0.59 33.12 22.01 48.64 -21.98 70.43
0.75 36.94 33.81 35.92 -18.60 75.92
-0.40 33.74 -27.80 58.19 -20.68 69.83
-2.51 34.26 -23.81 55.90 -15.03 75.90
1.70 33.21 -18.16 53.57 -21.98 70.43
-0.84 34.76 17.71 29.08 -17.24 74.42
-2.86 33.18 -19.35 30.88 -15.29 73.86
1.74 34.50 31.99 35.40 -9.86 76.16
-1.04 33.96 -20.80 53.65 -17.50 68.71
1.22 33.91 25.55 40.48 -18.02 74.03
-2.42 33.71 -22.42 50.37 -14.24 77.14
-1.31 33.14 -31.57 31.86 -12.53 76.77
-2.48 35.21 -26.80 55.02 -20.47 75.63
1.36 32.47 -29.09 52.86 -20.68 69.83
-0.59 36.06 18.74 41.45 -19.51 72.96
-1.92 32.91 -28.42 51.00 -24.05 71.76
-0.95 35.13 -25.46 37.03 -17.24 74.42
1.58 36.11 30.63 54.23 -18.60 75.92
-1.95 33.04 22.35 53.35 -18.02 74.03
-0.10 33.41 28.51 41.82 -12.53 76.77
-2.33 33.50 -29.83 43.46 -15.29 73.86
1.72 34.40 31.86 35.25 -9.86 76.16
-5.18 33.68 -26.61 51.14 -17.24 74.42
1.07 33.04 -30.60 38.13 -18.02 74.03
-0.69 33.44 -26.37 56.76 -15.29 73.86
0.66 33.37 -18.57 64.81 -18.02 74.03
-1.02 34.52 17.82 68.56 -10.63 73.86
-0.77 32.52 -26.15 46.96 -18.02 74.03
-1.00 34.52 -28.68 52.77 -19.51 72.96
-1.81 35.54 -26.30 28.92 -20.11 72.07
-3.92 32.50 -18.27 56.95 -20.11 72.07
0.02 32.30 25.65 37.30 -26.41 74.41
-2.82 35.15 26.60 33.27 -19.51 72.96
0.14 35.42 -16.75 45.09 -10.63 73.86
-1.25 32.95 -20.53 52.27 -23.91 72.22
1.59 36.16 32.38 54.61 -18.60 75.92
0.46 33.80 -8.68 55.47 -18.60 75.92
-0.38 34.99 29.15 47.54 -15.03 75.90
-1.34 33.26 -26.39 46.82 -20.11 72.07
-0.98 32.94 13.10 55.28 -18.02 74.03
-0.20 32.48 6.28 60.47 -20.11 72.07
-2.05 35.16 -28.91 43.63 -20.47 75.63
-0.15 35.48 -30.49 38.00 -13.35 70.88
-2.82 35.15 23.57 55.14 -19.51 72.96
-2.03 35.07 -16.38 29.95 -20.47 75.63
-1.36 35.81 -7.20 64.94 -20.47 75.63
-1.29 34.12 -19.77 48.93 -20.11 72.07
-0.32 34.39 -22.87 55.57 -21.41 70.03
-2.81 34.33 -27.89 52.23 -15.03 75.90
-0.78 32.94 22.42 56.31 -12.53 76.77
-1.29 33.43 -27.73 47.10 -23.91 72.22
-2.80 34.80 -29.68 40.09 -19.13 71.04
0.19 34.67 21.77 33.33 -15.03 75.90
-1.36 35.78 26.10 50.86 -20.47 75.63
0.23 34.83 -28.76 46.81 -19.25 67.18
-0.29 33.41 27.65 40.00 -15.29 73.86
-1.27 33.04 -16.81 56.87 -23.91 72.22
0.05 34.99 -20.02 38.34 -17.24 74.42
-2.39 34.51 -24.75 38.75 -20.47 75.63
-1.70 34.15 -18.64 60.37 -18.02 74.03
-1.70 34.12 -18.50 42.58 -18.02 74.03
-0.72 35.49 -21.04 50.36 -19.51 72.96
0.19 34.67 21.35 34.10 -15.03 75.90
-0.92 34.34 -31.12 41.92 -18.02 74.03
0.18 35.13 -26.04 63.44 -15.03 75.90
-0.15 35.46 -30.45 52.31 -13.35 70.88
1.28 34.03 23.85 36.57 -9.86 76.16
0.05 35.01 -17.76 57.88 -17.24 74.42
-1.87 33.69 -21.23 28.16 -18.02 74.03
0.62 35.88 -7.50 54.37 -10.56 72.66
-0.17 31.84 17.89 27.69 -17.24 74.42
1.05 37.26 32.13 53.19 -18.60 75.92
-1.48 35.76 -28.29 56.11 -19.13 71.04
0.62 35.92 -14.26 54.03 -10.56 72.66
0.54 34.91 -25.11 53.44 -19.13 71.04
-0.78 33.42 14.41 28.74 -15.29 73.86
0.78 35.45 5.56 56.10 -10.11 75.45
1.54 34.24 -21.24 54.85 -17.24 74.42
-2.80 34.80 -28.94 40.14 -20.47 75.63
1.22 33.88 -23.71 45.31 -18.02 74.03
2.04 36.32 20.83 19.33 -18.60 75.92
-1.47 34.82 -22.30 49.97 -17.24 74.42
0.92 35.69 -29.74 46.06 -19.13 71.04
-0.38 33.65 -24.42 32.18 -20.68 69.83
-2.13 32.83 12.49 54.46 -18.02 74.03
-1.72 34.72 -19.66 64.99 -21.41 70.03
-0.29 32.46 -21.42 52.81 -18.02 74.03
-2.69 34.04 -12.14 65.15 -20.11 72.07
-0.05 34.55 -28.19 39.31 -19.13 71.04
-0.50 33.54 -9.67 58.42 -23.91 72.22
-0.32 34.39 -28.15 49.07 -21.41 70.03
-1.05 34.96 -24.82 44.06 -10.56 72.66
-2.24 33.52 -23.65 54.42 -18.02 74.03
-1.81 35.54 -32.32 31.58 -20.11 72.07
-2.05 32.56 -29.19 42.90 -21.98 70.43
-1.10 32.94 -13.25 26.49 -23.82 72.03
-2.04 34.45 -28.51 43.98 -19.13 71.04
-1.28 33.41 -20.71 53.48 -23.91 72.22
-1.83 35.62 -33.39 31.85 -20.11 72.07
-0.10 33.41 -19.30 43.37 -12.53 76.77
0.00 35.95 -22.29 31.27 -10.56 72.66
-0.83 33.37 -16.96 62.74 -15.29 73.86
-1.32 33.22 -7.61 73.54 -23.82 72.03
-1.70 31.70 -24.05 50.64 -18.02 74.03
-1.48 35.74 -24.45 59.70 -19.13 71.04
-0.43 33.36 -21.25 49.24 -24.05 71.76
-1.01 33.84 -24.34 38.25 -21.41 70.03
-0.60 32.79 -21.15 49.59 -18.02 74.03
-1.62 34.64 -18.27 54.68 -24.84 70.51
-0.65 34.59 25.40 57.33 -15.03 75.90
-3.52 35.11 -26.69 34.98 -19.51 72.96
0.05 35.01 -20.02 43.20 -17.24 74.42
-0.90 36.70 -21.91 55.45 -10.11 75.45
0.94 35.36 22.83 48.42 -19.51 72.96
-2.85 34.37 -25.30 51.19 -15.03 75.90
-0.59 36.06 19.05 41.89 -19.51 72.96
1.19 34.06 17.02 60.37 -15.29 73.86
-2.39 34.51 -25.91 52.93 -20.47 75.63
0.73 36.81 32.94 48.20 -18.60 75.92
-0.23 35.21 29.24 53.22 -15.03 75.90
-1.32 33.13 -26.32 35.68 -20.11 72.07
0.75 34.46 -23.10 45.46 -17.24 74.42
0.67 33.30 -20.41 61.23 -17.24 74.42
-0.84 34.76 -26.73 50.11 -17.24 74.42
-0.48 34.54 15.53 24.97 -15.03 75.90
1.22 33.88 -22.73 44.63 -18.02 74.03
-0.96 33.30 -20.85 54.56 -21.98 70.43
-1.63 31.59 -25.23 51.85 -18.02 74.03
-1.81 35.54 -32.48 38.56 -20.11 72.07
-1.37 32.64 -29.07 45.48 -12.53 76.77
1.17 32.94 -19.56 59.68 -23.82 72.03
-0.74 33.04 24.91 49.27 -15.29 73.86
0.76 36.37 -25.32 48.80 -14.24 77.14
-2.00 34.30 -30.24 44.99 -19.13 71.04
2.00 34.00 -23.08 62.22 -21.24 68.69
-0.18 31.86 22.25 35.59 -17.24 74.42
-1.41 32.55 24.39 37.54 -26.99 70.18
-1.73 34.81 -25.64 57.54 -21.41 70.03
0.76 35.73 -6.46 57.58 -10.56 72.66
1.16 32.99 -31.76 39.27 -18.02 74.03
-1.35 32.36 26.45 49.94 -17.24 74.42
1.11 33.06 -21.28 61.39 -23.82 72.03
-0.58 35.52 -31.71 42.14 -14.24 77.14
-0.90 36.74 -24.87 36.47 -9.96 76.21
0.17 35.13 -1.88 60.34 -17.24 74.42
-0.05 35.10 -31.61 47.16 -19.13 71.04
-1.34 35.71 -29.79 50.17 -20.47 75.63
-2.62 33.32 -16.01 58.87 -23.91 72.22
-0.50 33.46 -12.19 58.07 -23.91 72.22
0.50 36.27 33.26 47.89 -18.60 75.92
0.71 34.36 -11.84 63.73 -18.60 75.92
-2.26 36.85 14.77 54.57 -15.29 73.86
0.72 34.15 -27.39 39.78 -18.60 75.92
-0.84 33.56 18.27 60.53 -19.51 72.96
-0.99 32.96 13.88 54.48 -18.02 74.03
-0.78 33.42 14.93 28.66 -15.29 73.86
0.79 35.54 10.32 42.41 -10.11 75.45
1.55 35.65 -31.96 42.54 -13.35 70.88
-1.03 33.56 -28.69 34.96 -18.02 74.03
