# raw rows of the Chapter 25 mini-study; generated by code/figures/gen_ch25_study.py from code/ch25_evaluation.py; cells (2,0) (2,1) (4,0) (4,1), seeds 0-19, strategies none/local/replan/hybrid, prediction=noisy; add the git commit of the code to this line when you publish a study
k m seed strategy family collision n_collisions near_miss dmin_dd dmin_di path_total path_ratio travel_mean makespan soc success replans avoid_steps comp_mean_ms comp_p99_ms comp_max_ms comp_total_s deadline_misses ef_mean ef_max comm_viol steps
2 0 8 none - 0 0 0 1.9607 nan 35.8959 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0532 0.1022 0.1648 0.0153 0 0.0292 0.2458 0 144
2 0 8 local - 0 0 0 1.9607 nan 35.8959 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0583 0.1263 0.1389 0.0168 0 0.0292 0.2458 0 144
2 0 8 replan - 0 0 0 1.9607 nan 35.8959 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0532 0.1159 0.2009 0.0153 0 0.0292 0.2458 0 144
2 0 8 hybrid - 0 0 0 1.9607 nan 35.8959 0.9989 12.7000 13.4000 25.4000 1 0 0 0.0530 0.0979 0.1437 0.0153 0 0.0292 0.2458 0 144
2 0 9 none - 0 0 0 1.9814 nan 35.6000 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0539 0.0976 0.1405 0.0154 0 0.0294 0.2458 0 143
2 0 9 local - 0 0 0 1.9814 nan 35.6000 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0518 0.0920 0.0966 0.0148 0 0.0294 0.2458 0 143
2 0 9 replan - 0 0 0 1.9814 nan 35.6000 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0544 0.1141 0.1547 0.0155 0 0.0294 0.2458 0 143
2 0 9 hybrid - 0 0 0 1.9814 nan 35.6000 0.9989 12.6000 13.3000 25.2000 1 0 0 0.0535 0.0970 0.1600 0.0153 0 0.0294 0.2458 0 143
2 0 10 none - 0 0 0 2.0869 nan 35.4448 0.9989 12.5000 13.3000 25.0000 1 0 0 0.0539 0.1032 0.1352 0.0154 0 0.0296 0.2458 0 143
2 0 10 local - 0 0 0 2.0869 nan 35.4448 0.9989 12.5000 13.3000 25.0000 1 0 0 0.0521 0.0969 0.1021 0.0149 0 0.0296 0.2458 0 143
2 0 10 replan - 0 0 0 2.0869 nan 35.4448 0.9989 12.5000 13.3000 25.0000 1 0 0 0.0521 0.0922 0.1076 0.0149 0 0.0296 0.2458 0 143
2 0 10 hybrid - 0 0 0 2.0869 nan 35.4448 0.9989 12.5000 13.3000 25.0000 1 0 0 0.0570 0.1146 0.1316 0.0163 0 0.0296 0.2458 0 143
2 0 11 none - 0 0 0 2.0641 nan 35.8124 0.9991 12.7000 13.5000 25.4000 1 0 0 0.0536 0.0966 0.1160 0.0155 0 0.0294 0.2458 0 145
2 0 11 local - 0 0 0 2.0641 nan 35.8124 0.9991 12.7000 13.5000 25.4000 1 0 0 0.0536 0.1002 0.1255 0.0155 0 0.0294 0.2458 0 145
2 0 11 replan - 0 0 0 2.0641 nan 35.8124 0.9991 12.7000 13.5000 25.4000 1 0 0 0.0567 0.1152 0.1741 0.0164 0 0.0294 0.2458 0 145
2 0 11 hybrid - 0 0 0 2.0641 nan 35.8124 0.9991 12.7000 13.5000 25.4000 1 0 0 0.0609 0.1324 0.1580 0.0177 0 0.0294 0.2458 0 145
2 0 12 none - 0 0 0 2.0883 nan 35.8842 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0544 0.1091 0.1385 0.0158 0 0.0293 0.2458 0 145
2 0 12 local - 0 0 0 2.0883 nan 35.8842 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0590 0.1252 0.1785 0.0171 0 0.0293 0.2458 0 145
2 0 12 replan - 0 0 0 2.0883 nan 35.8842 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0548 0.1076 0.1549 0.0159 0 0.0293 0.2458 0 145
2 0 12 hybrid - 0 0 0 2.0883 nan 35.8842 0.9990 12.7000 13.5000 25.4000 1 0 0 0.0549 0.1038 0.1233 0.0159 0 0.0293 0.2458 0 145
2 0 13 none - 0 0 0 1.5052 nan 35.7908 0.9989 12.4000 13.0000 24.8000 1 0 0 0.0543 0.1039 0.1151 0.0152 0 0.0295 0.2458 0 140
